图书排名,图书名称,图书作者,图书出版时间,图书出版社,图书价格
248,大卫科波菲尔（狄更斯传奇自传性小说，翻译家宋兆霖全译本）,查尔斯・狄更斯,2015-08-01,作家出版社,24.4
249,夜晚的潜水艇(第四届宝珀理想国文学奖得主陈春成短篇小说集，游荡...,陈春成,2020-09-01,上海三联书店,39.0
250,绝叫（罗翔推荐，长达四十年的恶女编年史，日本文学社会派推理小...,叶真中显,2020-07-01,北京联合出版有限公司,29.0
251,牧羊少年奇幻之旅（央视《朗读者》、湖南卫视《天天向上》、李现...,保罗・柯艾略,2018-01-01,北京十月文艺出版社,24.1
253,他在云之南（人气作家景行燃情悬爱力作！随书附赠“追光”书签。...,景行,2020-04-01,百花文艺出版社,19.9
254,瓦尔登湖(珍藏本) 朗读者朗读书目,梭罗,2010-12-01,中国三峡出版社,11.2
255,空间简史(与《时间简史》《人类简史》《未来简史》并称“四大简史...,托马斯・马卡卡罗,2019-01-01,四川文艺出版社,17.7
256,丰乳肥臀（莫言用情极深的长篇代表作，女性苦难史）,莫言,2020-03-01,浙江文艺出版社,31.1
257,局外人・鼠疫（诺奖得主加缪两大代表作《局外人》《鼠疫》。翻译...,�z法�{阿尔贝・加缪,2018-01-01,时代文艺出版社,15.5
258,长腿叔叔（教会孩子们面对困难如何自强、面对挑战如何自信、面对...,韦伯斯特,2019-04-01,吉林美术出版社,40.0
259,小猪唏哩呼噜(彩色注音版上、下),孙幼军,2014-03-01,春风文艺出版社,29.5
260,全球通史:从史前史到21世纪（第7版修订版上下册，赠送全球通史主...,斯塔夫里阿诺斯,2006-10-01,北京大学出版社,77.3
261,时间简史（插图本）（央视《朗读者》推荐）,史蒂芬・霍金,2014-06-01,湖南科技出版社,22.5
262,小小聪明豆绘本系列:波西和皮普(套装共7册),阿克塞尔・舍夫勒,2015-08-17,外语教学与研究出版社,53.5
263,屁屁侦探思维进阶版 第一辑（精装4册）,Troll,2021-03-01,二十一世纪出版社,77.0
264,双城记（狄更斯经典代表作，逝世150周年纪念版！翻译泰斗宋兆霖权...,查尔斯・狄更斯,2020-07-01,台海出版社,34.4
265,机器女孩（寒假百班千人推荐）（2022年百班千人寒假书单）,李姗姗,2021-05-01,天地出版社,27.0
266,人间词话（小嘉抖音推荐，叶嘉莹讲评本，诗词大家叶嘉莹逐条讲透...,王国维,2021-10-01,万卷出版公司,34.0
267,山海经（白话全译彩图版珍藏版）,徐客,2012-03-01,现代出版社,29.8
268,沧浪之水（某瓣8.5分，入围茅盾文学奖。职场小白、考公人的启蒙之...,阎真,2021-07-01,北京十月文艺出版社,24.5
269,给男孩的情绪管理绘本（套装全5册）,乐凡,2021-03-01,青岛出版社,45.0
270,神奇的逻辑思维游戏书,索尼国际教育公司,2018-10-01,北京日报出版社,22.5
271,审判（卡夫卡长篇代表作之一。钱满素、袁华清翻译）,卡夫卡,2018-04-01,时代文艺出版社,12.3
272,房思琪的初恋乐园 （豆瓣9.2高分！数百万读者强烈共鸣的文学绝唱...,林奕含,2018-02-01,北京联合出版有限公司,42.8
273,当下的力量（珍藏版）,埃克哈特.托利,2013-07-01,中信出版社,22.0
274,圆圈正义,罗翔,2019-08-07,中国法制出版社,37.0
275,秘密 （日本读者票选东野作品第 2名，仅次于《白夜行》）,东野圭吾,2017-11-01,南海出版公司,22.5
276,长辫子老师漫读必背古诗文130篇（统编版・小学卷）,郭学萍,2020-04-17,西安电子科技大学出版社,72.8
277,金波四季童话 注音美绘版套装 （全4册），收录了《怪手杖》《雨人...,金波,2018-02-01,长江少年儿童出版社,50.0
278,半小时漫画党史1921―1949（针对青少年研发，给孩子们讲党的故事...,上海人民出版社,2021-09-01,上海人民出版社,24.9
279,米小圈漫画成语（第一辑）（套装共5册）,北猫,2020-01-01,四川少儿出版社,49.0
280,科幻世界・三体Ⅲ・死神永生（典藏版）,刘慈欣,2016-06-30,重庆出版社,24.0
281,心流：最优体验心理学,米哈里・契克森米哈赖,2017-12-01,中信出版社,33.8
282,郑渊洁四大名传（全4册，含《罐头小人》电影情节）,郑渊洁,2015-12-01,浙江少年儿童出版社,52.2
283,西游记原著版（上、下册）（团购电话:400-1066666转6）,吴承恩,2010-10-01,人民文学出版社,26.0
284,科幻世界・三体Ⅱ・黑暗森林（典藏版）,刘慈欣,2016-06-30,重庆出版社,21.0
285,学习高手（90后哈佛耶鲁高分毕业生超实用学习法）,李柘远,2020-08-01,北京联合出版有限公司,52.3
287,会说话的汉字（全3册，配备《亲子阅读指导手册》）,梅子涵,2018-09-01,青岛出版社,74.0
288,刻意练习：如何从新手到大师,安德斯・艾利克森,2021-03-01,机械工业出版社,29.5
289,来喝水吧 葛瑞米・贝斯幻想大师系列，1-2年级阅读拓展书目，3-8岁...,葛瑞米・贝斯,2015-05-01,长江少年儿童出版社,24.0
290,列那狐的故事（舒朗大开本，与《伊索寓言》同入世界四大寓言名单...,季诺夫人,2017-03-01,辽宁少年儿童出版社,9.7
291,晚熟的人（莫言新书）,莫言,2020-07-01,人民文学出版社,44.2
292,男孩的学习力,富永雄辅,2020-06-01,四川文艺出版社,16.8
293,资治通鉴少年简读版(套装全4册）附赠音频，扫码畅听！四册盒装，...,何孝荣,2019-05-01,青岛出版社,78.0
294,敦煌奇幻旅行记 （套装全3册）,常怡,2021-08-23,中信出版社,52.5
295,我们的身体,艾德兰,2012-06-01,未来出版社,73.6
296,一年级大个子二年级小个子（注音版）,古田足日,2012-06-01,接力出版社,15.0
297,一年级的小豌豆+一年级的小蜜瓜（全彩注音版套装共2册）,商晓娜,2019-01-01,青岛出版社,38.0
298,傲慢与偏见（孙致礼先生翻译，幽默&唯美，豆瓣9.1分译本）,奥斯丁,2017-01-01,西安交通大学出版社,15.5
300,微尘（易中天、俞敏洪、史航、刘同、孙伊涵、小嘉感动推荐；作者...,陈年喜,2021-05-01,天津人民出版社,29.0
301,父与子全集（全彩版。一代幽默大师卜劳恩的爆笑暖心漫画）,埃・奥・卜劳恩,2017-04-01,浙江工商大学出版社,17.6
302,断舍离（2019新版，全新修订50%以上内容）宫崎骏、张德芬、李冰冰...,山下英子,2019-01-11,湖南文艺出版社,20.3
303,海蒂怀孕大百科（全新第5版，  百万育儿大V大J小D、年糕妈妈推荐...,海蒂・麦考夫,2019-04-01,南海出版公司,34.0
304,没头脑和不高兴（注音版）,任溶溶,2021-08-01,浙江少年儿童出版社,12.5
305,与艾尔伯特叔叔一起探索：量子宇宙（百班千人四年级共读用书）（...,罗素,2022-01-01,长江文艺出版社,24.0
306,目光（2020年度中国好书，陶勇医生文学随笔，董卿《朗读者》感动...,陶勇,2020-10-01,百花洲文艺出版社,24.9
307,上下五千年（最新版）,林汉达,2011-07-01,少年儿童出版社,44.0
308,雪国（川端康成诺贝尔文学奖获奖作，全新精装典藏版）,川端康成,2020-03-01,南海出版公司,24.5
309,拉鲁斯儿童心理小百科（精装大开本，四色图文，6-14岁孩子可以自...,卡琳・西蒙妮,2021-08-01,北京日报出版社,49.0
310,宫西达也恐龙系列全套7册（你看起来好像很好吃+我是霸王龙等）,宫西达也,2016-11-01,２１世纪出版社,87.3
311,一日三秋（刘震云睽违四年新作，用幽默化解成年人的崩溃瞬间，人...,刘震云,2021-07-01,花城出版社,29.0
312,第七天（2018版）,余华,2018-08-01,新星出版社,27.2
313,在孩子下次生病前（增订本）,裴洪岗,2019-07-01,人民卫生出版社,44.8
314,人类群星闪耀时（14个改变人类命运的天才，14个影响人类文明的瞬...,茨威格,2019-04-01,江苏凤凰文艺出版社,34.5
315,理解人性（成熟不是看懂事情，而是看透人性。）,阿德勒,2020-02-20,水利水电出版社,23.0
316,洛克菲勒留给儿子的38封信,洛克菲勒,2012-10-01,中华工商联合出版社,9.9
317,果麦经典：人类群星闪耀时（小米之父雷军、易中天、冯唐推荐！茨...,斯蒂芬・茨威格,2019-07-01,上海文艺出版社,24.5
318,下沉年代（“得到”年度好书，许倬云、刘擎、但斌一致推荐！呈现...,乔治・帕克,2021-01-01,文汇出版社,54.0
319,歪歪兔逆商教育系列图画书合集全20册（儿童情绪与行为引导培养，...,歪歪兔关键期早教项目组,2021-08-01,海豚出版社,80.0
320,画给孩子的二十四节气 : 精装彩绘本（中国第五大发明，非物质文化...,施英巍,2020-04-01,吉林美术出版社,40.0
321,遇见未知的自己：全新修订版,张德芬,2019-12-15,湖南文艺出版社,23.4
322,许三观卖血记（新版）,余华,2017-09-12,作家出版社,22.0
323,铃木绘本系列宫西达也低幼认知绘本 知道我吃什么了吗+转啊转+？？...,宫西达也,2019-12-31,海豚出版社,22.5
324,手不是用来打人的（儿童好品德系列，全5册）孩子多读就见效的习惯...,伊丽莎白・弗迪克,2018-04-01,贵州教育出版社,49.5
325,李佳琦直播推荐 学会爱自己（防性侵，安全意识、行为习惯培养绘本...,珊蒂克雷文,2016-02-01,青岛出版社,96.0
326,俗世奇人（全二册，冯骥才作品）,冯骥才,2016-02-29,作家出版社,20.0
328,一百个中国孩子的梦 百年百部经典书系全国优秀儿童文学奖 “五个...,董宏猷,2016-04-01,长江少年儿童出版社,16.0
329,理想国（商务印书馆汉译名著权威全译本，精装典藏版）,柏拉图,2020-06-01,商务印书馆,34.0
330,新参者（2016版）,东野圭吾,2016-02-01,南海出版公司,19.7
331,金字塔原理大全集（共2册）（思考表达和解决问题的逻辑，“抖音同...,芭芭拉,2019-07-01,南海出版公司,88.0
332,水浒传（上下册，全两册，中国古典文学读本丛书）（团购电话:400...,施耐庵,2004-09-01,人民文学出版社,27.9
333,甲骨文学校系列（4册，央视《读书》推荐、2021年度桂冠童书）,黄加佳,2021-06-01,北京联合出版有限公司,68.5
334,如果历史是一群喵8・盛世大唐篇,肥志,2021-05-25,广东旅游出版社,41.8
335,华夏万卷 田英章楷书7000常用字(升级版) 学生成人初学者临摹描红...,田英章,2018-12-01,上海交通大学出版社,9.9
336,活法,稻盛和夫,2019-11-01,东方出版社,28.5
337,天才在左 疯子在右(全新完整版),高铭,2018-05-01,北京联合出版有限公司,47.3
338,飘（上下） 世界名著典藏,米切尔,2015-02-01,中央编译出版社,25.0
339,做自己的中医（范怨武作品。原来健康可以这么简单；让你一学就会...,范怨武,2021-10-11,河北科学技术出版社,29.5
341,瓦尔登湖（瓦尔登湖畔，不只是身体的栖息之所，更是精神的沉思之...,亨利戴维梭罗,2015-12-01,作家出版社,11.8
342,我和小姐姐克拉拉（共3册）1.2.3 经典完全本,迪米特尔茵可夫,2015-09-01,二十一世纪出版社,24.0
343,价值：我对投资的思考 （高瓴资本创始人兼首席执行官张磊力作，团...,张磊,2020-09-30,浙江教育出版社,88.5
344,呼兰河传（绘本版）（和孩子一起，用单纯清澈的目光看世界）,萧红,2017-11-01,海豚出版社,49.0
345,我不敢说，我怕被骂――邓超微博推荐的绘本 带给孩子更多勇气和自...,皮姆,2019-11-01,北京联合出版公司,19.9
346,科学家故事100个（叶永烈）,叶永烈,2017-01-01,长江文艺出版社,21.2
347,汪曾祺散文集：人间知味（收录《人间草木》等经典散文）,汪曾祺,2018-02-05,时代文艺出版社,18.6
348,长安客（张颂文推荐，大唐版《人类群星闪耀时》，李白、杜甫、王...,北溟鱼,2020-05-01,天津人民出版社,22.5
349,暖房子・屁屁侦探系列（套装共7册）,Troll,2020-07-01,海豚出版社,57.5
350,斯凯瑞金色童书・忙忙碌碌的一天（全3册）,斯凯瑞,2007-10-01,贵州人民出版社,9.0
351,全员嫌疑人（本以为真相水落石出，没想到真凶另有其人！大山诚一...,大山诚一郎,2021-10-20,河南文艺出版社,21.0
352,厚黑学全集（足本典藏版，林语堂、南怀瑾、柏杨、李敖历经沉浮，...,李宗吾,2013-06-01,中国友谊出版公司,13.2
354,海底两万里 注音版名师名家读名著,儒勒・凡尔纳,2018-10-01,北方妇女儿童出版社,28.9
355,影响力（经典版）（团购，请致电010-57993380）,罗伯特・B.西奥迪尼,2016-09-01,北京联合出版公司,41.1
356,歪歪兔行为习惯系列互动图画书（全10册）,歪歪兔关键期早教项目组,2015-08-18,海豚出版社,45.0
357,"有本事（冯唐全新力作,一个人有本事才是靠得住的财富。）",冯唐,2021-07-01,北京联合出版有限公司,55.1
358,浮生六记（非常容易读懂原文的版本：详细注解+准确优美直译。获得...,沈复,2019-02-01,时代文艺出版社,16.8
359,慢一点也没关系（内卷时代的避坑指南）,比利时,2021-10-01,四川文艺出版社,17.7
360,笨狼的故事注音版・笨狼是谁（全彩美图）,汤素兰,2016-06-01,湖南少年儿童出版社,10.0
361,米小圈上学记二年级（套装共4册）,北猫,2018-04-01,四川少儿出版社,49.0
362,悲惨世界（法国大文豪雨果“命运三部曲”之一，未删节全译版）,维克多・雨果,2016-06-01,作家出版社,41.4
363,袁珂中国神话故事集（百班千人推荐）,袁珂,2017-06-01,中国少年儿童出版社,24.0
364,曾国藩传（张宏杰新作）,张宏杰,2019-01-01,民主与建设出版社,64.6
365,小刺猬理发百年百部精选注音书 本书收录了鲁兵的童话和童谣诗,鲁兵,2018-08-01,长江少年儿童出版社,12.5
366,你想活出怎样的人生（宫崎骏从10岁读到70岁的小说，同名电影制作...,吉野源三郎,2019-08-01,南海出版公司,24.7
367,悉达多（诺贝尔文学奖得主赫尔曼・黑塞的代表作，德文直译，原版...,赫尔曼・黑塞,2020-12-01,民主与建设出版社,34.4
368,走到人生边上――自问自答（增订本）,杨绛,2016-07-01,商务印书馆,40.5
369,记忆传授人――百班千人推荐！清华附小推荐，荣获美国纽伯瑞儿童...,洛伊丝・劳里,2021-04-29,河北教育出版社,20.0
371,神奇校车・动画版（全10册）,乔安娜柯尔,2011-04-05,贵州人民出版社,59.0
372,豆蔻镇的居民和强盗（注音版）：外方独家授权 叶君健权威译本 作...,托比扬・埃格纳,2017-09-01,湖南少年儿童出版社,12.5
373,少有人走的路：心智成熟的旅程（白金升级版）,M.斯科特・派克,2020-10-20,北京联合出版有限公司,24.7
374,佐贺的超级阿嬷,岛田洋七,2020-06-01,南海出版公司,30.8
375,世界的一天,安野光雅,2013-01-01,贵州人民出版社,19.9
376,神奇点心店（共4册）（欢迎光临钱天堂，“儿童版解忧杂货店”开张...,广岛玲子,2021-11-01,北京科学技术出版社,56.0
377,人生的枷锁（又译《人性的枷锁》，毛姆自认的完美作品，写给在现...,威廉・萨默赛特・毛姆,2016-09-01,作家出版社,24.5
378,一园青菜成了精（国际安徒生奖提名画家熊亮作品，中国原创绘本经...,熊亮,2017-08-01,天津人民出版社,8.8
379,《鲜衣怒马少年时》（1+2）套装,少年怒马,2021-08-01,湖南文艺出版社,44.1
380,古文观止译注(精装注音版，无障碍阅读!)(当当定制升级版),李梦生,2018-12-01,上海古籍出版社,34.0
381,小念头：恋爱中的沈从文,赵瑜,2017-04-01,作家出版社,26.2
382,认知觉醒：开启自我改变的原动力,周岭,2020-09-01,人民邮电出版社,41.2
383,阿勒泰的角落（李娟成名作四色典藏版）,李娟,2013-09-01,新星出版社,24.8
384,雾都孤儿（狄更斯代表作之一，讲述黑暗中闪现的人性光辉）,查尔斯・狄更斯,2015-09-01,作家出版社,14.6
385,共情的力量：情商高的人，如何抚慰受伤的灵魂,亚瑟・乔拉米卡利,2019-01-01,中国致公出版社,22.4
386,《有鸽子的夏天》荣获第11届全国优秀儿童文学奖 陈伯吹国际儿童文...,刘海栖,2021-12-01,山东教育出版社,24.0
388,从你的全世界路过：修订本（张嘉佳亲笔签名版与普通版本随机发送...,张嘉佳,2019-07-01,湖南文艺出版社,22.5
389,字母表谜案（怪异君推荐！当你隐隐觉得不对劲，致命的恶意正悄悄...,大山诚一郎,2021-04-30,河南文艺出版社,21.0
390,民国往事,萨沙,2015-05-01,北京联合出版公司,6.4
391,我要做好孩子 百年百部经典书系 黄蓓佳经典代表作，五个一工程奖...,黄蓓佳,2016-04-01,长江少年儿童出版社,12.5
394,抱住棒棒的自己（武志红强烈推荐。“过去的我已经做得很棒了，剩...,徐慢慢心理话,2021-11-01,浙江文艺出版社,29.9
395,中国年：传统节日立体书,呦呦童,2019-09-01,安徽科学技术出版社,49.0
396,悉达多（译者姜乙翻译）【果麦经典】,赫尔曼・黑塞,2017-01-01,天津人民出版社,16.0
397,365夜睡前故事（全4册） 宝宝睡前故事书0-3-6岁幼儿故事书早教配...,青葫芦,2018-01-01,福建科技出版社,26.3
398,月亮的味道（精装）,麦克格雷涅茨,2017-10-01,二十一世纪出版社,17.5
399,和爸妈游中国 给孩子的手绘中国地理绘本,黄宇,2019-09-01,明天出版社,67.9
400,天蓝色的彼岸,亚历克斯・希勒,2019-03-01,北京联合出版有限公司,17.5
401,克拉拉与太阳（比尔・盖茨2021年度书单，诺贝尔文学奖得主石黑一...,石黑一雄,2021-04-01,上海译文出版社,55.6
402,事实（比尔.盖茨送给全美大学生的毕业礼物！比尔.盖茨逢人就推荐...,汉斯・罗斯林,2019-05-07,文汇出版社,49.5
403,爱心树（2018版）,谢尔・希尔弗斯坦,2018-01-01,北京联合出版有限公司,27.6
404,成年人的世界没有容易二字（专治“怕、不甘心、难”，助你早日丧...,老杨的猫头鹰,2021-12-01,江苏凤凰文艺出版社,22.5
405,把妈妈的话装进耳朵里,玛尔塔・帕拉雷斯,2019-04-01,北京科学技术出版社,19.5
406,岛上书店（李现推荐，每个人的生命中，都有无比艰难的那一年，将...,加・泽文,2015-05-08,江苏文艺出版社,17.5
407,战马（（精装典藏版）,迈克尔・莫波格,2016-01-01,南海出版公司,27.6
408,哈利・波特与密室  (平装)（《语文》教材推荐阅读书目，外国儿童...,J.K.罗琳,2018-11-01,人民文学出版社,33.9
409,朱自清散文集 精装读书会,朱自清,2018-09-01,南京出版社,14.7
410,美好的旅行 全球 中国最美的100个地方 图说天下 国家地理 套装共...,图书天下・国家地理,2017-11-01,北京联合出版公司,15.5
411,财务自由之路（全三册）当当专享版 赠送精美书签,博多・舍费尔,2019-02-20,现代出版社,61.0
413,原则 principles 雷・达里奥著 跨年演讲推荐图书 团购电话:40010...,瑞・达利欧,2018-01-01,中信出版社,67.6
414,三国演义（上、下，全二册）（团购电话:400-1066666转6）,罗贯中,2010-09-01,人民文学出版社,21.7
415,苏东坡传：青少插图版,林语堂,2020-03-10,湖南少年儿童出版社,21.6
416,图勒的小幸福（全8册）,托马斯・蒂德霍尔姆,2018-03-01,辽宁少年儿童出版社,72.0
417,华夏万卷字帖5本装 正楷一本通田英章书 楷书硬笔书法学生成人钢笔...,田英章,2017-07-01,上海交通大学出版社,16.5
418,漫画讲透孙子兵法(全4册)（130个知识点讲透5000字原文，130场战斗...,华杉,2020-04-16,江苏凤凰文艺出版社,66.2
419,自驱型成长：如何科学有效地培养孩子的自律,威廉,2020-05-15,机械工业出版社,56.2
420,人性的弱点（戴尔・卡耐基成功学的奠基之作）,卡耐基,2015-06-01,北京联合出版公司,14.0
421,有钱人和你想的不一样（2020版，教会你有钱人和穷人不一样的17种...,哈维・艾克,2017-06-01,湖南文艺出版社,20.3
422,"西西弗神话（诺贝尔文学奖得主,加缪的荒诞哲学代表作)",阿尔贝・加缪,2020-09-01,民主与建设出版社,34.4
423,格格不入：不愿说谢谢的人（一代青年的成长史！）,王力,2017-03-01,贵州人民出版社,24.0
424,国际大奖小说・升级版--蓝色的海豚岛,斯・奥台尔,2017-05-01,新蕾出版社,14.6
425,大头儿子和小头爸爸经典原著故事合集（原著作者郑春华推荐版本，...,郑春华,2018-03-01,天地出版社,13.5
426,半小时漫画世界史2（ 四大文明古国组团出道，为啥只剩中国屹立不...,陈磊.半小时漫画团队,2021-06-30,北京日报出版社,24.9
427,推开窗子看见你 百年百部经典书系 金波儿童诗集，3-4年级阅读拓展...,金波,2016-04-01,长江少年儿童出版社,13.0
428,德鲁克 卓有成效的管理者,彼得.德鲁克,2019-04-20,机械工业出版社,51.7
429,毛毛(米切尔・恩德作品典藏),米切尔・恩德,2013-06-01,２１世纪出版社,15.0
430,米小圈脑筋急转弯（第二辑）(套装共4册）,北猫,2020-06-01,四川少儿出版社,31.4
431,0-4岁幼儿认知小百科（全3册),吉田纯子,2014-02-01,长江少年儿童出版社,56.8
432,桤木王（精装珍藏版桤（qī）木王！王小波推崇的文学大师！我们的...,米歇尔・图尼埃,2021-07-27,文汇出版社,39.5
433,如何阅读一本书,莫提默・J.艾德勒,2004-01-01,商务印书馆,42.2
434,茶馆（原汁原味老舍作品，无删节经典完整版。）,老舍,2020-08-01,台海出版社,34.4
435,幼儿学古诗（绘本版，全2册）,中国教育科学研究院学前教育研究中心,2019-08-08,教育科学出版社有限公司,49.0
436,凯文・汉克斯四季绘本套装 春天来了+夏天的歌+在秋天+冬天在这里...,凯文・汉克斯,2021-10-01,青岛出版社,95.0
437,夏洛书屋经典版・总有一天会长大 四年级推荐阅读,托摩脱・蒿根,2018-01-01,上海译文出版社,12.6
438,月亮与六便士（荣获豆瓣9.4高分评论，一本好书 腾讯视频栏目推荐...,毛姆,2016-04-01,南海出版公司,17.5
439,我们的母亲叫中国 百年百部经典书系 5-6年级阅读拓展书目,苏叔阳,2020-04-01,长江少年儿童出版社,11.0
440,半小时漫画科学史系列（全3册）（从地心说到相对论，半小时读懂人...,陈磊.半小时漫画团队,2021-05-31,文汇出版社,66.0
441,孙悟空在我们村里 百年百部经典书系 国风散文集，3-4年级阅读拓展...,郭风,2016-04-01,长江少年儿童出版社,10.0
442,人生（2021版，茅盾文学奖得主路遥代表作，激励万千读者，堪称《...,路遥,2021-07-01,北京十月文艺出版社,27.2
443,张爱玲全集01：倾城之恋（23岁张爱玲成名代表作！收录《倾城之恋...,张爱玲,2019-01-01,北京十月文艺出版社,29.2
444,牛虻（我一定要走自己的路，追随我所见到的光明。无数人因为读它...,艾捷尔・丽莲・伏尼契,2020-09-01,台海出版社,34.4
447,西游记幼儿美绘本（全10册）,吕进,2018-05-01,少年儿童出版社,99.5
448,崔玉涛育儿百科,崔玉涛,2018-12-31,中信出版社,89.0
449,夏日终曲（第90届奥斯卡获奖电影《请以你的名字呼唤我》原著小说...,安德烈・艾席蒙,2018-02-19,外语教学与研究出版社,28.7
450,东野圭吾：时生（东野圭吾暖心力作）,东野圭吾,2015-07-01,南海出版公司,19.7
451,数学星球（让孩子爱上数学的趣味绘本）,卡莉娜・卢瓦尔,2016-08-24,中国人口出版社,29.0
452,白鹿原（新版，央视《读书》推荐，含白鹿原+信任+蚕儿+霞光灿烂的...,陈忠实,2019-03-28,作家出版社,21.9
453,显微镜下的大明（马伯庸著，全新明朝历史书）,马伯庸,2019-01-01,湖南文艺出版社,23.4
454,很美很美的猜谜书(升级版)：巴黎彩绘解谜手册！激发孩子数学兴趣...,法布里斯,2021-06-17,北方文艺出版社,28.7
455,玩偶之家  培尔・金特（挪威易卜生中心官方认证简体中文版）,易卜生,2018-09-30,民主与建设出版社,30.6
456,动物农场（乔治・奥威尔经典的讽喻之作 ，也译“动物庄园”，后附...,乔治・奥威尔,2018-03-01,时代文艺出版社,11.8
457,猫武士（首）一部曲（6册/套）,艾琳.亨特,2017-09-01,中国少年儿童出版社,96.0
458,我是小科学家：理化大揭秘（满足孩子对理化的好奇心，为孩子打开...,未来少年,2021-11-23,长江少年儿童出版社,33.0
459,可复制的领导力：樊登的9堂商业课（团购，请致电400-106-6666转6...,樊登,2017-12-01,中信出版社,36.7
460,大雪将至,罗伯特・泽塔勒,2018-04-01,南海出版公司,19.5
461,一看就会的思维导图启蒙绘本（歪歪兔童书馆出品）,歪歪兔关键期早教,2019-04-30,海豚出版社,64.0
462,古代人的日常生活系列（典藏版共2册）（古代房价高吗？古人如何抗...,讲历史的王老师,2021-08-01,江苏凤凰文艺出版社,72.9
463,大中华寻宝系列 秦朝寻宝记,京鼎动漫,2021-01-01,二十一世纪出版社,17.5
464,人生由我：比“硅谷钢铁侠”埃隆・马斯克更酷的硬核母亲。励志版...,梅耶・马斯克,2020-06-01,中信出版社,44.2
465,小真的长头发,高楼方子,2020-05-01,海豚出版社,35.1
466,我喜欢自己――邓超微博推荐的绘本 带给孩子更多勇气和自信的绘本...,卡尔森,2019-11-01,河北教育出版社,17.9
467,美的历程（李泽厚代表名作）,李泽厚,2014-03-01,生活.读书.新知三联书店,38.6
468,虫洞书简：给青少年的74封信,王溢嘉,2020-01-01,台海出版社,19.9
469,世说新语（全2册・中华经典名著全本全注全译丛书-三全本）,朱碧莲,2014-09-01,中华书局,39.6
470,哈利・波特与“混血王子”  (平装)（《语文》教材推荐阅读书目，...,J.K.罗琳,2018-11-01,人民文学出版社,56.8
471,习近平讲故事（少年版）,人民日报评论部,2018-03-01,中国少年儿童出版社,10.6
472,自卑与超越（也译作《超越自卑》。个体心理学创始人阿德勒代表作...,阿尔弗雷德・阿德勒,2017-11-01,民主与建设出版社,14.1
473,洋葱头历险记--罗大里故事精选（注音彩绘版）,贾尼・罗大里,2021-01-01,中国少年儿童出版社,15.0
474,小威向前冲,尼古拉斯・艾伦,2018-04-23,贵州人民出版社,18.0
475,杨绛传：简朴的生活，高贵的灵魂（杨绛先生诞辰110周年纪念版）,梅子,2020-06-01,民主与建设出版社,34.4
476,一年级的小豌豆 （彩色修订版）,商晓娜,2019-01-01,青岛出版社,18.8
477,掌控习惯（屡次获奖的现象级畅销书，得到&吴晓波倾力推荐）,詹姆斯・克利尔,2019-07-01,北京联合出版有限公司,28.0
478,蛙（茅盾文学奖获奖作品，诺奖得主莫言畅销不衰的代表作；书写计...,莫言,2020-03-01,浙江文艺出版社,22.1
479,非自然死亡：我的法医笔记（法医秦明冠名推荐，15年法医生涯，19...,刘晓辉,2020-11-30,台海出版社,26.0
480,狼图腾（王俊凯、白岩松推荐经典小说 ，入选人大附中等多所名校课...,姜戎,2020-01-01,北京十月文艺出版社,49.7
481,曹文轩纯美小说：山羊不吃天堂草,曹文轩,2016-04-01,江苏少年儿童出版社,10.4
482,余秋雨 文化苦旅,余秋雨,2019-04-01,长江文艺出版社,24.9
483,东野圭吾：假面山庄（东野圭吾烧脑长篇）,东野圭吾,2018-01-01,北京十月文艺出版社,22.5
484,穆斯林的葬礼（2015版）,霍达,2015-09-01,北京十月文艺出版社,34.3
485,鄙视（意大利的“鲁迅”！我渴望的其实不是分手，而是重新相爱。...,阿尔贝托・莫拉维亚,2021-07-29,江苏凤凰文艺出版社,31.0
486,"受害者游戏（女版东野圭吾 , 继《圣母》《暗黑女子》后又一力作，...",秋吉理香子,2021-04-01,中国友谊出版公司,17.9
487,梦圆大地：袁隆平传,姚昆仑,2015-07-01,中国地图出版社,31.7
488,思考，快与慢（团购电话400-106-6666转6）,丹尼尔・卡尼曼,2012-07-01,中信出版社,47.6
489,父与子全集（全彩精装版。一代幽默大师卜劳恩的爆笑暖心漫画）,埃・奥・卜劳恩,2018-04-16,浙江工商大学出版社,22.1
490,道德经 精装珍藏本,老子,2016-06-30,作家出版社,12.7
491,柳林风声,肯尼斯格雷厄姆,2013-08-15,贵州人民出版社,49.0
492,湘行散记：沈从文散文精粹（沈从文代表作）,沈从文,2019-04-01,中国友谊出版公司,15.7
493,当我谈跑步时，我谈些什么（2015典藏版）,村上春树,2015-10-01,南海出版公司,18.0
494,俗世奇人全本（收录冯骥才2019年18篇新作，完整收录54篇“俗世奇...,冯骥才,2019-12-01,人民文学出版社,27.0
495,一年级大个子二年级小个子,古田足日,2015-10-01,接力出版社,12.4
496,贾里贾梅大系  男生贾里全传,秦文君,2014-05-01,少年儿童出版社,12.0
497,医路向前巍子给中国人的救护指南,医路向前巍子,2020-12-01,北京联合出版有限公司,64.6
498,干法（平装本）,稻盛和夫,2021-07-01,机械工业出版社,24.5
499,犟龟,米切尔.恩德,2017-10-01,二十一世纪出版社,17.7
500,林汉达中国历史故事集（珍藏版）,林汉达,2021-08-01,中国少年儿童出版社,57.0
